City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,lora del rio,37.659,-5.5275,19.89,45,88,4.8,ES,1676647024
197,biak,-0.9131,122.8766,25.37,86,94,1.87,ID,1676647024
198,balakovo,52.0278,47.8007,-9.02,97,96,1.69,RU,1676647004
199,vao,-22.6667,167.4833,24.03,62,96,4.41,NC,1676647025
200,kushiro,42.975,144.3747,-6.16,90,83,1.29,JP,1676646873
201,edgemere,39.2421,-76.448,17.29,92,100,1.34,US,1676647026
202,carndonagh,55.25,-7.2667,9.79,72,100,3.82,IE,1676647026
203,luanda,-8.8368,13.2343,28.02,71,89,6.4,AO,1676646878
204,los arabos,22.7281,-80.7214,28.06,50,0,3.28,CU,1676647028
205,den helder,52.9599,4.7593,11.66,84,75,11.18,NL,1676647028
206,belmonte,-15.8631,-38.8828,29.95,60,39,3.98,BR,1676647030
207,bedesa,8.9,40.7833,23.38,29,37,4.22,ET,1676647030
208,boa vista,2.8197,-60.6733,28.99,58,75,6.17,BR,1676646783
209,kadirli,37.3739,36.0961,8.91,43,0,1.55,TR,1676647031
210,port elizabeth,-33.918,25.5701,22.28,83,20,3.09,ZA,1676647031
211,kieta,-6.2167,155.6333,26.16,85,100,1.84,PG,1676647031
212,castro,-24.7911,-50.0119,17.12,97,100,2.49,BR,1676647032
213,aranos,-24.1333,19.1167,33.35,18,0,3.2,NA,1676647032
214,alice springs,-23.7,133.8833,23.75,83,40,4.12,AU,1676647032
215,brunswick,41.2381,-81.8418,-1.88,79,100,8.23,US,1676646914
216,hof,50.3167,11.9167,9.7,93,100,9.77,DE,1676646891
217,saldanha,-33.0117,17.9442,20.02,77,27,8.7,ZA,1676647033
218,beira,-19.8436,34.8389,26.05,83,75,6.04,MZ,1676647033
219,poum,-20.2333,164.0167,25.84,66,59,1.39,NC,1676647033
220,farah,32.5,62.5,15.92,45,89,2.67,AF,1676647034
221,nome,64.5011,-165.4064,-13.96,61,0,11.83,US,1676647034
222,kaeo,-35.1,173.7833,14.07,94,11,2.94,NZ,1676647035
223,milkovo,54.7167,158.6167,-17.34,98,100,0.62,RU,1676647035
224,moose factory,51.2585,-80.6094,-24.0,76,0,2.06,CA,1676647035
225,coquimbo,-29.9533,-71.3436,21.85,68,0,4.63,CL,1676646902
226,kaitangata,-46.2817,169.8464,10.54,94,99,1.63,NZ,1676647036
227,sarakhs,36.5449,61.1577,7.55,64,99,2.61,IR,1676647036
228,cabo rojo,18.0866,-67.1457,29.03,65,0,1.79,PR,1676647036
229,ixtapa,20.7,-105.2,21.24,82,40,2.06,MX,1676647036
230,galich,58.3797,42.3475,-4.94,94,100,1.83,RU,1676647037
231,samana,19.2056,-69.3369,27.12,65,20,2.57,DO,1676647037
232,amboasary,-25.0333,46.3833,27.96,68,36,2.62,MG,1676647038
233,carlos antonio lopez,-26.4,-54.7667,19.34,90,100,3.02,PY,1676647038
234,nadym,65.5333,72.5167,-7.61,87,100,5.22,RU,1676647039
235,desur,12.4333,79.4833,21.19,77,5,3.11,IN,1676647039
236,cidreira,-30.1811,-50.2056,22.09,82,100,6.75,BR,1676647039
237,pangnirtung,66.1451,-65.7125,-28.33,79,92,0.89,CA,1676647039
238,togur,58.3631,82.8265,-10.6,90,45,4.14,RU,1676647040
239,opunake,-39.4556,173.8583,13.4,80,1,4.0,NZ,1676647040
240,kavaratti,10.5669,72.642,26.71,69,32,2.57,IN,1676647040
241,cayenne,4.9333,-52.3333,29.02,70,75,5.14,GF,1676647040
242,pemangkat,1.1667,108.9667,25.57,86,92,3.7,ID,1676647041
243,tougan,13.0667,-3.0667,33.68,7,42,7.13,BF,1676647041
244,miraflores,19.2167,-98.8083,13.9,38,4,0.83,MX,1676647041
245,pokhara,28.2333,83.9833,16.14,52,3,2.46,NP,1676647043
246,santa cecilia,-26.9608,-50.4269,18.76,86,100,1.78,BR,1676647043
247,naze,28.3667,129.4833,15.51,64,37,5.31,JP,1676647043
248,maua,-23.6678,-46.4614,30.04,52,100,7.52,BR,1676647043
249,henties bay,-22.116,14.2845,20.24,74,5,6.07,NA,1676647043
250,severo-yeniseyskiy,60.3725,93.0408,-8.84,92,100,5.17,RU,1676647044
251,tashtagol,52.7657,87.8894,-17.08,100,28,1.17,RU,1676647044
252,namatanai,-3.6667,152.4333,26.47,79,99,1.66,PG,1676647044
253,san patricio,28.017,-97.5169,8.28,39,92,8.48,US,1676647044
254,saint-paul,-21.0096,55.2707,27.06,90,60,1.54,RE,1676647045
255,mar del plata,-38.0023,-57.5575,17.19,51,75,9.26,AR,1676647045
256,olive branch,34.9618,-89.8295,3.18,69,75,6.69,US,1676647045
257,bayan,46.0833,127.4,-17.52,95,67,1.96,CN,1676647045
258,bunbury,-33.3333,115.6333,17.02,74,0,4.9,AU,1676647046
259,nouadhibou,20.931,-17.0347,19.17,55,0,5.29,MR,1676647046
260,te anau,-45.4167,167.7167,11.35,94,97,0.5,NZ,1676647046
261,kutum,14.2,24.6667,21.86,13,0,6.65,SD,1676647047
262,hoquiam,46.9809,-123.8893,6.64,95,100,2.34,US,1676647047
263,massakory,12.996,15.7293,29.74,11,0,6.45,TD,1676647047
264,cedar city,37.6775,-113.0619,-8.67,92,0,1.54,US,1676647047
265,avera,33.194,-82.5271,18.73,92,100,7.68,US,1676647047
266,iquique,-20.2208,-70.1431,26.02,74,6,2.92,CL,1676647048
267,warrington,53.3925,-2.5802,12.4,76,100,6.69,GB,1676647048
268,semey,50.4111,80.2275,-20.66,99,6,3.07,KZ,1676646715
269,komsomolskiy,40.4272,71.7189,5.4,93,100,1.03,UZ,1676647048
270,gamboma,-1.8764,15.8644,33.72,33,92,0.36,CG,1676647048
271,piedras negras,28.7,-100.5167,7.93,45,40,5.17,MX,1676647049
272,kiama,-34.6833,150.8667,23.1,77,26,3.58,AU,1676647049
273,derbent,42.0678,48.2899,1.65,79,98,3.79,RU,1676647049
274,kavieng,-2.5744,150.7967,27.44,78,100,3.49,PG,1676647049
275,mitsamiouli,-11.3847,43.2844,27.99,74,64,2.42,KM,1676647050
276,kiratpur,29.5167,78.2,19.59,42,34,0.2,IN,1676647050
277,guerrero negro,27.9769,-114.0611,12.48,31,100,1.44,MX,1676647050
278,asau,46.4333,26.4,7.51,82,40,2.89,RO,1676647050
279,yilan,24.757,121.753,20.57,99,14,1.37,TW,1676647050
280,abonnema,4.7084,6.7931,37.78,14,60,3.04,NG,1676647051
281,oranjemund,-28.55,16.4333,21.5,76,0,5.62,NA,1676647051
282,kahului,20.8947,-156.47,23.25,89,100,2.57,US,1676647052
283,bud,39.447,-86.1758,-0.45,64,44,6.17,US,1676647052
284,sibolga,1.7427,98.7792,25.25,78,72,1.09,ID,1676647053
285,joao camara,-5.5375,-35.8197,35.28,31,36,5.72,BR,1676647053
286,beidao,34.5686,105.8933,5.09,77,65,0.64,CN,1676647053
287,kondinskoye,59.6481,67.41,-18.81,99,12,2.33,RU,1676647054
288,banda aceh,5.5577,95.3222,26.2,83,98,3.64,ID,1676647054
289,acapulco,16.8634,-99.8901,25.9,78,20,0.0,MX,1676646819
290,ancud,-41.8697,-73.8203,15.61,48,0,2.33,CL,1676647054
291,apiai,-24.5094,-48.8425,19.94,94,100,2.96,BR,1676647055
292,chiungutwa,-10.8833,38.9833,26.35,87,65,0.38,TZ,1676647055
293,olafsvik,64.8945,-23.7142,2.82,67,100,7.34,IS,1676647055
294,aue,50.5833,12.7,11.4,93,100,9.48,DE,1676646970
295,coihaique,-45.5752,-72.0662,14.97,38,0,1.03,CL,1676647056
296,carutapera,-1.195,-46.02,27.02,80,100,2.71,BR,1676647056
297,vila franca do campo,37.7167,-25.4333,17.23,76,88,3.53,PT,1676647057
